timestamp,bandwidthInMbps,flow,band
2018-07-24 16:05:00,62055.15888757333,0.0,62055.15888757333
2018-07-24 16:10:00,58835.55064845333,0.0,58835.55064845333
2018-07-24 16:15:00,55911.31328898667,0.0,55911.31328898667
2018-07-24 16:20:00,53334.601988986666,0.0,53334.601988986666
2018-07-24 16:25:00,50854.33113861333,0.0,50854.33113861333
2018-07-24 16:30:00,48606.108141360004,0.0,48606.108141360004
2018-07-24 16:35:00,46054.91465749334,0.0,46054.91465749334
2018-07-24 16:40:00,43897.103948213335,0.0,43897.103948213335
2018-07-24 16:45:00,42422.32723570667,0.0,42422.32723570667
2018-07-24 16:50:00,40746.07504621333,0.0,40746.07504621333
2018-07-24 16:55:00,38620.208051893336,0.0,38620.208051893336
2018-07-24 17:00:00,41470.07810592,0.0,41470.07810592
2018-07-24 17:05:00,35029.54787749333,0.0,35029.54787749333
2018-07-24 17:10:00,32988.87196234667,0.0,32988.87196234667
2018-07-24 17:15:00,31543.719892853333,0.0,31543.719892853333
2018-07-24 17:20:00,29775.289815146665,0.0,29775.289815146665
2018-07-24 17:25:00,28232.327770000004,0.0,28232.327770000004
2018-07-24 17:30:00,27160.233553653336,0.0,27160.233553653336
2018-07-24 17:35:00,25648.44734776,0.0,25648.44734776
2018-07-24 17:40:00,24188.466062400003,0.0,24188.466062400003
2018-07-24 17:45:00,23356.570349813333,0.0,23356.570349813333
2018-07-24 17:50:00,22671.040560560003,0.0,22671.040560560003
2018-07-24 17:55:00,22126.995377813335,0.0,22126.995377813335
2018-07-24 18:00:00,19798.92220328,0.0,19798.92220328
2018-07-24 18:05:00,17468.628451306668,0.0,17468.628451306668
2018-07-24 18:10:00,15899.794407493335,0.0,15899.794407493335
2018-07-24 18:15:00,14377.000766613333,0.0,14377.000766613333
2018-07-24 18:20:00,13008.9469736,0.0,13008.9469736
2018-07-24 18:25:00,11834.058892533332,0.0,11834.058892533332
2018-07-24 18:30:00,10660.65111808,0.0,10660.65111808
2018-07-24 18:35:00,9773.645882266666,0.0,9773.645882266666
2018-07-24 18:40:00,9191.258638586667,0.0,9191.258638586667
2018-07-24 18:45:00,8704.499091573334,0.0,8704.499091573334
2018-07-24 18:50:00,8529.19456008,0.0,8529.19456008
2018-07-24 18:55:00,7998.9346753066675,0.0,7998.9346753066675
2018-07-24 19:00:00,8633.820515413334,0.0,8633.820515413334
2018-07-24 19:05:00,9217.446693493333,0.0,9217.446693493333
2018-07-24 19:10:00,9742.033296613332,0.0,9742.033296613332
2018-07-24 19:15:00,9987.67048904,0.0,9987.67048904
2018-07-24 19:20:00,10350.791799679999,0.0,10350.791799679999
2018-07-24 19:25:00,10594.752839626668,0.0,10594.752839626668
2018-07-24 19:30:00,10842.172544586665,0.0,10842.172544586665
2018-07-24 19:35:00,10967.450482133332,0.0,10967.450482133332
2018-07-24 19:40:00,10944.690585066666,0.0,10944.690585066666
2018-07-24 19:45:00,10676.728537946667,0.0,10676.728537946667
2018-07-24 19:50:00,10640.798149093334,0.0,10640.798149093334
2018-07-24 19:55:00,10334.565479013334,0.0,10334.565479013334
2018-07-24 20:00:00,10133.757463386668,0.0,10133.757463386668
2018-07-24 20:05:00,9999.93889496,0.0,9999.93889496
2018-07-24 20:10:00,10009.364068613333,0.0,10009.364068613333
2018-07-24 20:15:00,9680.554827066666,0.0,9680.554827066666
2018-07-24 20:20:00,9626.10278528,0.0,9626.10278528
2018-07-24 20:25:00,9560.422393333334,0.0,9560.422393333334
2018-07-24 20:30:00,9473.751806773333,0.0,9473.751806773333
2018-07-24 20:35:00,9440.107316186666,0.0,9440.107316186666
2018-07-24 20:40:00,9187.860582426667,0.0,9187.860582426667
2018-07-24 20:45:00,9183.94184552,0.0,9183.94184552
2018-07-24 20:50:00,9107.704916480001,0.0,9107.704916480001
2018-07-24 20:55:00,9061.540326400002,0.0,9061.540326400002
2018-07-24 21:00:00,9072.10732432,0.0,9072.10732432
2018-07-24 21:05:00,8892.30494944,0.0,8892.30494944
2018-07-24 21:10:00,9059.263584880002,0.0,9059.263584880002
2018-07-24 21:15:00,9085.957148186666,0.0,9085.957148186666
2018-07-24 21:20:00,9333.567575813333,0.0,9333.567575813333
2018-07-24 21:25:00,9368.00703728,0.0,9368.00703728
2018-07-24 21:30:00,9645.512844693334,0.0,9645.512844693334
2018-07-24 21:35:00,9899.93692464,0.0,9899.93692464
2018-07-24 21:40:00,9933.12849376,0.0,9933.12849376
2018-07-24 21:45:00,10322.29384432,0.0,10322.29384432
2018-07-24 21:50:00,10567.068485973334,0.0,10567.068485973334
2018-07-24 21:55:00,10970.912068720001,0.0,10970.912068720001
2018-07-24 22:00:00,11527.00751896,0.0,11527.00751896
2018-07-24 22:05:00,12195.327293093333,0.0,12195.327293093333
2018-07-24 22:10:00,12729.04875872,0.0,12729.04875872
2018-07-24 22:15:00,13297.813662906665,0.0,13297.813662906665
2018-07-24 22:20:00,14096.4450696,0.0,14096.4450696
2018-07-24 22:25:00,14747.644246906668,0.0,14747.644246906668
2018-07-24 22:30:00,15500.258202826666,0.0,15500.258202826666
2018-07-24 22:35:00,16425.58502456,0.0,16425.58502456
2018-07-24 22:40:00,17136.459209146666,0.0,17136.459209146666
2018-07-24 22:45:00,17968.400119653335,0.0,17968.400119653335
2018-07-24 22:50:00,18897.636734986667,0.0,18897.636734986667
2018-07-24 22:55:00,19811.76998192,0.0,19811.76998192
2018-07-24 23:00:00,20837.859744666668,0.0,20837.859744666668
2018-07-24 23:05:00,21704.36314264,0.0,21704.36314264
