timestamp,bandwidthInMbps,flow,band
2018-07-24 16:05:00,28525.361412293332,0.0,28525.361412293332
2018-07-24 16:10:00,27384.41003386667,0.0,27384.41003386667
2018-07-24 16:15:00,25991.265693146666,0.0,25991.265693146666
2018-07-24 16:20:00,25037.424085333332,0.0,25037.424085333332
2018-07-24 16:25:00,24035.9618028,0.0,24035.9618028
2018-07-24 16:30:00,23107.98677128,0.0,23107.98677128
2018-07-24 16:35:00,21983.58504482667,0.0,21983.58504482667
2018-07-24 16:40:00,21001.77846872,0.0,21001.77846872
2018-07-24 16:45:00,20443.23793992,0.0,20443.23793992
2018-07-24 16:50:00,19575.391526533334,0.0,19575.391526533334
2018-07-24 16:55:00,18703.472422586667,0.0,18703.472422586667
2018-07-24 17:00:00,17715.410385226667,0.0,17715.410385226667
2018-07-24 17:05:00,16999.854732773332,0.0,16999.854732773332
2018-07-24 17:10:00,16469.022975013333,0.0,16469.022975013333
2018-07-24 17:15:00,15691.41244016,0.0,15691.41244016
2018-07-24 17:20:00,15119.717465706666,0.0,15119.717465706666
2018-07-24 17:25:00,14407.307680800002,0.0,14407.307680800002
2018-07-24 17:30:00,13881.927358533334,0.0,13881.927358533334
2018-07-24 17:35:00,13114.68896752,0.0,13114.68896752
2018-07-24 17:40:00,12338.579579786667,0.0,12338.579579786667
2018-07-24 17:45:00,11842.343153066666,0.0,11842.343153066666
2018-07-24 17:50:00,11507.677423093333,0.0,11507.677423093333
2018-07-24 17:55:00,11166.595927066666,0.0,11166.595927066666
2018-07-24 18:00:00,10761.255066186666,0.0,10761.255066186666
2018-07-24 18:05:00,10185.106422133334,0.0,10185.106422133334
2018-07-24 18:10:00,9924.259880026668,0.0,9924.259880026668
2018-07-24 18:15:00,9649.336240373334,0.0,9649.336240373334
2018-07-24 18:20:00,9255.574022666666,0.0,9255.574022666666
2018-07-24 18:25:00,8859.428866186667,0.0,8859.428866186667
2018-07-24 18:30:00,8421.3956528,0.0,8421.3956528
2018-07-24 18:35:00,8141.6498948,0.0,8141.6498948
2018-07-24 18:40:00,7930.673708186667,0.0,7930.673708186667
2018-07-24 18:45:00,7614.0854870133335,0.0,7614.0854870133335
2018-07-24 18:50:00,7489.077298266668,0.0,7489.077298266668
2018-07-24 18:55:00,7067.814089093334,0.0,7067.814089093334
2018-07-24 19:00:00,6762.279202266667,0.0,6762.279202266667
2018-07-24 19:05:00,6508.14255208,0.0,6508.14255208
2018-07-24 19:10:00,6243.7339428,0.0,6243.7339428
2018-07-24 19:15:00,6068.0318227200005,0.0,6068.0318227200005
2018-07-24 19:20:00,6012.40684104,0.0,6012.40684104
2018-07-24 19:25:00,5839.937347946667,0.0,5839.937347946667
2018-07-24 19:30:00,5754.7772041866665,0.0,5754.7772041866665
2018-07-24 19:35:00,5648.687314746667,0.0,5648.687314746667
2018-07-24 19:40:00,5341.520855146667,0.0,5341.520855146667
2018-07-24 19:45:00,5128.225657173333,0.0,5128.225657173333
2018-07-24 19:50:00,5063.2656414133335,0.0,5063.2656414133335
2018-07-24 19:55:00,4940.575476506667,0.0,4940.575476506667
2018-07-24 20:00:00,4816.568547706667,0.0,4816.568547706667
2018-07-24 20:05:00,4749.236328826667,0.0,4749.236328826667
2018-07-24 20:10:00,4735.5967924,0.0,4735.5967924
2018-07-24 20:15:00,4469.051326346666,0.0,4469.051326346666
2018-07-24 20:20:00,4484.86073888,0.0,4484.86073888
2018-07-24 20:25:00,4469.302026826666,0.0,4469.302026826666
2018-07-24 20:30:00,4412.437542906667,0.0,4412.437542906667
2018-07-24 20:35:00,4348.71071816,0.0,4348.71071816
2018-07-24 20:40:00,4235.3389666933335,0.0,4235.3389666933335
2018-07-24 20:45:00,4174.47965416,0.0,4174.47965416
2018-07-24 20:50:00,4177.050443813334,0.0,4177.050443813334
2018-07-24 20:55:00,4198.21627272,0.0,4198.21627272
2018-07-24 21:00:00,4161.924013173333,0.0,4161.924013173333
2018-07-24 21:05:00,4116.653954026667,0.0,4116.653954026667
2018-07-24 21:10:00,4175.220186266667,0.0,4175.220186266667
2018-07-24 21:15:00,4209.919037066667,0.0,4209.919037066667
2018-07-24 21:20:00,4246.217037333333,0.0,4246.217037333333
2018-07-24 21:25:00,4290.73682248,0.0,4290.73682248
2018-07-24 21:30:00,4424.879532773333,0.0,4424.879532773333
2018-07-24 21:35:00,4574.559391493333,0.0,4574.559391493333
2018-07-24 21:40:00,4629.245070746667,0.0,4629.245070746667
2018-07-24 21:45:00,4766.759962133334,0.0,4766.759962133334
2018-07-24 21:50:00,4921.77758264,0.0,4921.77758264
2018-07-24 21:55:00,5106.643304133333,0.0,5106.643304133333
2018-07-24 22:00:00,5316.977077653333,0.0,5316.977077653333
2018-07-24 22:05:00,5592.712154933333,0.0,5592.712154933333
2018-07-24 22:10:00,5944.56204336,0.0,5944.56204336
2018-07-24 22:15:00,6244.0724241866665,0.0,6244.0724241866665
2018-07-24 22:20:00,6674.9304706933335,0.0,6674.9304706933335
2018-07-24 22:25:00,6936.765095466666,0.0,6936.765095466666
2018-07-24 22:30:00,7207.299341919999,0.0,7207.299341919999
2018-07-24 22:35:00,7581.383365786667,0.0,7581.383365786667
2018-07-24 22:40:00,7791.699546986666,0.0,7791.699546986666
2018-07-24 22:45:00,8220.667064293333,0.0,8220.667064293333
2018-07-24 22:50:00,8635.961053066667,0.0,8635.961053066667
2018-07-24 22:55:00,9015.79752424,0.0,9015.79752424
2018-07-24 23:00:00,9532.283847333334,0.0,9532.283847333334
2018-07-24 23:05:00,9767.683420986667,0.0,9767.683420986667
